sample_id,group_id,annotation_id,image_path,mask_path,leaf_mask_path,image_materialization,label,labels_in_json,image_width,image_height,lesion_pixels,leaf_pixels_heuristic,lesion_fraction_image,lesion_fraction_heuristic_leaf,early_blight_pixels,late_blight_pixels,bacterial_spot_pixels,shape_count,status,split
01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075,01ebf21e-ef94-4c92-b007-0b26741c2fc8,01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075,artifacts/data/mc_unet/images/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075.jpg,artifacts/data/mc_unet/masks/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075.png,artifacts/data/mc_unet/leaf_masks_heuristic/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075.png,source_jpg,late_blight,Tomato_Late_blight,256,256,2312,65536,0.0352783203125,0.0352783203125,0,2312,0,1,ok,train
01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075_flipLR,01ebf21e-ef94-4c92-b007-0b26741c2fc8,01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075_flipLR,artifacts/data/mc_unet/images/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075_flipLR.jpg,artifacts/data/mc_unet/masks/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,2414,65536,0.036834716796875,0.036834716796875,0,2414,0,1,ok,train
01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757,01ece5a1-8398-4e68-a9e3-198c57b51b01,01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757,artifacts/data/mc_unet/images/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757.jpg,artifacts/data/mc_unet/masks/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757.png,artifacts/data/mc_unet/leaf_masks_heuristic/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757.png,source_jpg,late_blight,Tomato_Late_blight,256,256,4821,65536,0.0735626220703125,0.0735626220703125,0,4821,0,1,ok,train
01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757_flipLR,01ece5a1-8398-4e68-a9e3-198c57b51b01,01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757_flipLR,artifacts/data/mc_unet/images/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757_flipLR.jpg,artifacts/data/mc_unet/masks/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/01ece5a1-8398-4e68-a9e3-198c57b51b01___GHLB2 Leaf 8757_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,4926,65536,0.075164794921875,0.075164794921875,0,4926,0,1,ok,train
01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892,01f13167-f508-4ef2-8720-4e973438f8fc,01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892,artifacts/data/mc_unet/images/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.jpg,artifacts/data/mc_unet/masks/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.png,artifacts/data/mc_unet/leaf_masks_heuristic/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.png,source_jpg,bacterial_spot,Tomato_Bacterial_spot,256,256,334,65536,0.005096435546875,0.005096435546875,0,0,334,3,ok,train
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_180deg,0208ed52-1b28-4c9c-88e3-4667581e1109,0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_180deg,artifacts/data/mc_unet/images/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_180deg.jpg,artifacts/data/mc_unet/masks/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_180deg.png,artifacts/data/mc_unet/leaf_masks_heuristic/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_180deg.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,10149,65536,0.1548614501953125,0.1548614501953125,10149,0,0,5,ok,val
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_flipTB,0208ed52-1b28-4c9c-88e3-4667581e1109,0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_flipTB,artifacts/data/mc_unet/images/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_flipTB.jpg,artifacts/data/mc_unet/masks/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_flipTB.png,artifacts/data/mc_unet/leaf_masks_heuristic/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829_flipTB.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,11180,65536,0.17059326171875,0.17059326171875,11180,0,0,5,ok,val
023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354,023fe2d4-6e1d-40ce-99ae-85ba90f436ff,023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354,artifacts/data/mc_unet/images/023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.jpg,artifacts/data/mc_unet/masks/023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.png,artifacts/data/mc_unet/leaf_masks_heuristic/023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.png,source_jpg,early_blight,Tomato_Early_blight,256,256,3559,65536,0.0543060302734375,0.0543060302734375,3559,0,0,10,ok,train
02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570,02a0f70a-9e27-420e-93ff-6ed8105f41c1,02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570,artifacts/data/mc_unet/images/02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570.jpg,artifacts/data/mc_unet/masks/02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570.png,artifacts/data/mc_unet/leaf_masks_heuristic/02a0f70a-9e27-420e-93ff-6ed8105f41c1___GCREC_Bact.Sp 3570.png,source_jpg,bacterial_spot,Tomato_Bacterial_spot,256,256,689,65536,0.0105133056640625,0.0105133056640625,0,0,689,3,ok,train
02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731,02a3e0cd-04da-4e08-b929-167bcb7f46f4,02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731,artifacts/data/mc_unet/images/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731.jpg,artifacts/data/mc_unet/masks/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731.png,artifacts/data/mc_unet/leaf_masks_heuristic/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731.png,source_jpg,late_blight,Tomato_Late_blight,256,256,888,65536,0.0135498046875,0.0135498046875,0,888,0,2,ok,train
02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731_flipLR,02a3e0cd-04da-4e08-b929-167bcb7f46f4,02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731_flipLR,artifacts/data/mc_unet/images/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731_flipLR.jpg,artifacts/data/mc_unet/masks/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,796,65536,0.01214599609375,0.01214599609375,0,796,0,2,ok,train
02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841,02dfe58f-0ad1-4bf6-838a-e145978b1eed,02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841,artifacts/data/mc_unet/images/02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841.jpg,artifacts/data/mc_unet/masks/02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841.png,artifacts/data/mc_unet/leaf_masks_heuristic/02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841.png,source_jpg,bacterial_spot,Tomato_Bacterial_spot,256,256,684,65536,0.01043701171875,0.01043701171875,0,0,684,2,ok,train
02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206,02effbf1-e958-4531-a19b-f8be754d2805,02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206,artifacts/data/mc_unet/images/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206.jpg,artifacts/data/mc_unet/masks/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206.png,artifacts/data/mc_unet/leaf_masks_heuristic/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206.png,source_jpg,late_blight,Tomato_Late_blight,256,256,6372,65536,0.09722900390625,0.09722900390625,0,6372,0,3,ok,train
02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206_flipLR,02effbf1-e958-4531-a19b-f8be754d2805,02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206_flipLR,artifacts/data/mc_unet/images/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206_flipLR.jpg,artifacts/data/mc_unet/masks/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/02effbf1-e958-4531-a19b-f8be754d2805___RS_Late.B 5206_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,6320,65536,0.096435546875,0.096435546875,0,6320,0,3,ok,train
02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581,02fe963e-7c68-4fd3-9f8f-36bf9e153c20,02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581,artifacts/data/mc_unet/images/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581.jpg,artifacts/data/mc_unet/masks/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581.png,artifacts/data/mc_unet/leaf_masks_heuristic/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581.png,source_jpg,late_blight,Tomato_Late_blight,256,256,1489,65536,0.0227203369140625,0.0227203369140625,0,1489,0,1,ok,train
02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581_flipLR,02fe963e-7c68-4fd3-9f8f-36bf9e153c20,02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581_flipLR,artifacts/data/mc_unet/images/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581_flipLR.jpg,artifacts/data/mc_unet/masks/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581_flipLR.png,artifacts/data/mc_unet/leaf_masks_heuristic/02fe963e-7c68-4fd3-9f8f-36bf9e153c20___GHLB2 Leaf 8581_flipLR.png,source_jpg,late_blight,Tomato_Late_blight,256,256,1479,65536,0.0225677490234375,0.0225677490234375,0,1479,0,1,ok,train
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464,0378db62-5231-4eff-815d-c0deb0043e80,0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464,artifacts/data/mc_unet/images/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.jpg,artifacts/data/mc_unet/masks/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.png,artifacts/data/mc_unet/leaf_masks_heuristic/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,6240,65536,0.09521484375,0.09521484375,6240,0,0,5,ok,val
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_180deg,0378db62-5231-4eff-815d-c0deb0043e80,0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_180deg,artifacts/data/mc_unet/images/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_180deg.jpg,artifacts/data/mc_unet/masks/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_180deg.png,artifacts/data/mc_unet/leaf_masks_heuristic/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_180deg.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,5820,65536,0.08880615234375,0.08880615234375,5820,0,0,4,ok,val
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB,0378db62-5231-4eff-815d-c0deb0043e80,0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB,artifacts/data/mc_unet/images/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB.jpg,artifacts/data/mc_unet/masks/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB.png,artifacts/data/mc_unet/leaf_masks_heuristic/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464_flipTB.png,embedded_imageData,early_blight,Tomato_Early_blight,256,256,7348,65536,0.11212158203125,0.11212158203125,7348,0,0,6,ok,val
